"","lng","lat","confirmed","deaths","recovered"
"1",101,15,2,0,0
"2",138,36,2,0,0
"3",112.2707,30.9756,444,17,28
"4",128,36,1,0,0
"5",113.4244,23.3417,26,0,0
"6",113.614,33.882,5,0,0
"7",120.0934,29.1832,10,0,0
"8",111.7088,27.6104,4,0,0
"9",117.2264,31.8257,1,0,0
"10",115.7221,27.614,2,0,0
"11",118.1498,36.3427,2,0,0
"12",119.455,32.9711,1,0,0
"13",107.874,30.0572,6,0,0
"14",102.7103,30.6171,5,0,0
"15",116.4142,40.1824,14,0,0
"16",121.4491,31.202,9,0,0
"17",116.1306,39.549,1,0,0
"18",117.9874,26.0789,1,0,0
"19",108.7881,23.8298,2,0,0
"20",101.487,24.974,1,0,0
"21",109.7453,19.1959,4,0,0
"22",106.8748,26.8154,1,0,0
"23",117.323,39.3054,4,0,0
"24",112.2922,37.5777,1,0,0
"25",122.6085,41.2956,2,0,0
"26",106.1655,37.2692,1,0,0
"27",121,23.7,1,0,0
"28",113.55,22.1667,1,0,0
"29",101,15,3,0,0
"30",138,36,1,0,0
"31",103.8333,1.2833,1,0,0
"32",112.2707,30.9756,444,17,28
"33",128,36,1,0,0
"34",113.4244,23.3417,32,0,2
"35",113.614,33.882,5,0,0
"36",120.0934,29.1832,27,0,0
"37",111.7088,27.6104,9,0,0
"38",117.2264,31.8257,9,0,0
"39",115.7221,27.614,7,0,0
"40",118.1498,36.3427,6,0,0
"41",119.455,32.9711,5,0,0
"42",107.874,30.0572,9,0,0
"43",102.7103,30.6171,8,0,0
"44",127.7615,47.862,2,0,0
"45",116.4142,40.1824,22,0,0
"46",121.4491,31.202,16,0,0
"47",116.1306,39.549,1,1,0
"48",117.9874,26.0789,5,0,0
"49",108.7881,23.8298,5,0,0
"50",108.8701,35.1917,3,0,0
"51",101.487,24.974,2,0,0
"52",109.7453,19.1959,5,0,0
"53",106.8748,26.8154,3,0,0
"54",117.323,39.3054,4,0,0
"55",112.2922,37.5777,1,0,0
"56",101.0583,37.8099,2,0,0
"57",114.2,22.3,2,0,0
"58",122.6085,41.2956,3,0,0
"59",126.1923,43.6661,1,0,0
"60",85.2401,41.1129,2,0,0
"61",106.1655,37.2692,1,0,0
"62",121,23.7,1,0,0
"63",108,16,2,0,0
"64",113.55,22.1667,2,0,0
"65",101,15,5,0,0
"66",138,36,2,0,0
"67",103.8333,1.2833,3,0,0
"68",112.2707,30.9756,549,24,31
"69",128,36,2,0,0
"70",2.2137,46.2276,2,0,0
"71",113.4244,23.3417,53,0,2
"72",113.614,33.882,9,0,0
"73",120.0934,29.1832,43,0,1
"74",111.7088,27.6104,24,0,0
"75",117.2264,31.8257,15,0,0
"76",115.7221,27.614,18,0,0
"77",118.1498,36.3427,15,0,0
"78",119.455,32.9711,9,0,0
"79",107.874,30.0572,27,0,0
"80",102.7103,30.6171,15,0,0
"81",127.7615,47.862,4,1,0
"82",116.4142,40.1824,36,0,1
"83",121.4491,31.202,20,0,1
"84",116.1306,39.549,2,1,0
"85",117.9874,26.0789,10,0,0
"86",108.7881,23.8298,23,0,0
"87",108.8701,35.1917,5,0,0
"88",101.487,24.974,5,0,0
"89",109.7453,19.1959,8,0,0
"90",106.8748,26.8154,3,0,0
"91",117.323,39.3054,8,0,0
"92",112.2922,37.5777,1,0,0
"93",101.0583,37.8099,2,0,0
"94",114.2,22.3,2,0,0
"95",122.6085,41.2956,4,0,0
"96",126.1923,43.6661,3,0,0
"97",85.2401,41.1129,2,0,0
"98",113.9448,44.0935,1,0,0
"99",106.1655,37.2692,2,0,0
"100",121,23.7,3,0,0
"101",108,16,2,0,0
"102",113.55,22.1667,2,0,0
"103",101,15,7,0,0
"104",138,36,2,0,0
"105",103.8333,1.2833,3,0,0
"106",84.25,28.1667,1,0,0
"107",112.5,2.5,3,0,0
"108",112.2707,30.9756,761,40,32
"109",128,36,2,0,0
"110",2.2137,46.2276,3,0,0
"111",113.4244,23.3417,78,0,2
"112",113.614,33.882,32,0,0
"113",120.0934,29.1832,62,0,1
"114",111.7088,27.6104,43,0,0
"115",117.2264,31.8257,39,0,0
"116",115.7221,27.614,18,0,0
"117",118.1498,36.3427,27,0,0
"118",119.455,32.9711,18,0,1
"119",107.874,30.0572,57,0,0
"120",102.7103,30.6171,28,0,0
"121",127.7615,47.862,9,1,0
"122",116.4142,40.1824,41,0,2
"123",121.4491,31.202,33,0,1
"124",116.1306,39.549,8,1,0
"125",117.9874,26.0789,18,0,0
"126",108.7881,23.8298,23,0,0
"127",108.8701,35.1917,15,0,0
"128",101.487,24.974,11,0,0
"129",109.7453,19.1959,19,0,0
"130",106.8748,26.8154,4,0,0
"131",117.323,39.3054,10,0,0
"132",112.2922,37.5777,6,0,0
"133",101.0583,37.8099,4,0,0
"134",114.2,22.3,5,0,0
"135",122.6085,41.2956,17,0,0
"136",126.1923,43.6661,4,0,0
"137",85.2401,41.1129,3,0,0
"138",113.9448,44.0935,7,0,0
"139",106.1655,37.2692,3,0,0
"140",121,23.7,3,0,0
"141",108,16,2,0,0
"142",95.9956,35.7452,1,0,0
"143",113.55,22.1667,2,0,0
"144",101,15,8,0,2
"145",138,36,4,0,1
"146",103.8333,1.2833,4,0,0
"147",84.25,28.1667,1,0,0
"148",112.5,2.5,4,0,0
"149",151.2093,-33.8688,3,0,0
"150",144.9631,-37.8136,1,0,0
"151",-85.3232,51.2538,1,0,0
