"","lng","lat"
"1",101,15
"2",138,36
"3",112.2707,30.9756
"4",128,36
"5",113.4244,23.3417
"6",113.614,33.882
"7",120.0934,29.1832
"8",111.7088,27.6104
"9",117.2264,31.8257
"10",115.7221,27.614
"11",118.1498,36.3427
"12",119.455,32.9711
"13",107.874,30.0572
"14",102.7103,30.6171
"15",116.4142,40.1824
"16",121.4491,31.202
"17",116.1306,39.549
"18",117.9874,26.0789
"19",108.7881,23.8298
"20",101.487,24.974
"21",109.7453,19.1959
"22",106.8748,26.8154
"23",117.323,39.3054
"24",112.2922,37.5777
"25",122.6085,41.2956
"26",106.1655,37.2692
"27",121,23.7
"28",113.55,22.1667
"29",101,15
"30",138,36
"31",103.8333,1.2833
"32",112.2707,30.9756
"33",128,36
"34",113.4244,23.3417
"35",113.614,33.882
"36",120.0934,29.1832
"37",111.7088,27.6104
"38",117.2264,31.8257
"39",115.7221,27.614
"40",118.1498,36.3427
"41",119.455,32.9711
"42",107.874,30.0572
"43",102.7103,30.6171
"44",127.7615,47.862
"45",116.4142,40.1824
"46",121.4491,31.202
"47",116.1306,39.549
"48",117.9874,26.0789
"49",108.7881,23.8298
"50",108.8701,35.1917
"51",101.487,24.974
"52",109.7453,19.1959
"53",106.8748,26.8154
"54",117.323,39.3054
"55",112.2922,37.5777
"56",101.0583,37.8099
"57",114.2,22.3
"58",122.6085,41.2956
"59",126.1923,43.6661
"60",85.2401,41.1129
"61",106.1655,37.2692
"62",121,23.7
"63",108,16
"64",113.55,22.1667
"65",101,15
"66",138,36
"67",103.8333,1.2833
"68",112.2707,30.9756
"69",128,36
"70",2.2137,46.2276
"71",113.4244,23.3417
"72",113.614,33.882
"73",120.0934,29.1832
"74",111.7088,27.6104
"75",117.2264,31.8257
"76",115.7221,27.614
"77",118.1498,36.3427
"78",119.455,32.9711
"79",107.874,30.0572
"80",102.7103,30.6171
"81",127.7615,47.862
"82",116.4142,40.1824
"83",121.4491,31.202
"84",116.1306,39.549
"85",117.9874,26.0789
"86",108.7881,23.8298
"87",108.8701,35.1917
"88",101.487,24.974
"89",109.7453,19.1959
"90",106.8748,26.8154
"91",117.323,39.3054
"92",112.2922,37.5777
"93",101.0583,37.8099
"94",114.2,22.3
